algorithm,instance,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std,instance_type
2-opt,cluster_30_0,608.6817191736685,608.6817191736685,608.6817191736685,,0.07052939999994123,0.07052939999994123,0.07052939999994123,,cluster
2-opt,cluster_30_1,502.9569310531531,502.9569310531531,502.9569310531531,,0.0723400999995647,0.0723400999995647,0.0723400999995647,,cluster
2-opt,cluster_30_2,393.63891235084174,393.63891235084174,393.63891235084174,,0.08295319999888306,0.08295319999888306,0.08295319999888306,,cluster
2-opt,euclidean_30_0,370.99799446054044,370.99799446054044,370.99799446054044,,0.10068949999913457,0.10068949999913457,0.10068949999913457,,euclidean
2-opt,euclidean_30_1,439.9687275079233,439.9687275079233,439.9687275079233,,0.08337119999850984,0.08337119999850984,0.08337119999850984,,euclidean
2-opt,euclidean_30_2,496.46637309466047,496.46637309466047,496.46637309466047,,0.04641540000011446,0.04641540000011446,0.04641540000011446,,euclidean
NN-SA Hybrid,cluster_30_0,664.1431558010229,664.1431558010229,664.1431558010229,,0.051114900001266506,0.051114900001266506,0.051114900001266506,,cluster
NN-SA Hybrid,cluster_30_1,550.9691663897386,550.9691663897386,550.9691663897386,,0.027054199999838602,0.027054199999838602,0.027054199999838602,,cluster
NN-SA Hybrid,cluster_30_2,479.43207294325094,479.43207294325094,479.43207294325094,,0.0568557000005967,0.0568557000005967,0.0568557000005967,,cluster
NN-SA Hybrid,euclidean_30_0,385.3000578579723,385.3000578579723,385.3000578579723,,0.06048709999959101,0.06048709999959101,0.06048709999959101,,euclidean
NN-SA Hybrid,euclidean_30_1,557.2392936210008,557.2392936210008,557.2392936210008,,0.0887086000002455,0.0887086000002455,0.0887086000002455,,euclidean
NN-SA Hybrid,euclidean_30_2,575.9938754989594,575.9938754989594,575.9938754989594,,0.06049369999891496,0.06049369999891496,0.06049369999891496,,euclidean
Nearest Neighbor,cluster_30_0,620.9202537124927,620.9202537124927,620.9202537124927,,0.010612699999910546,0.010612699999910546,0.010612699999910546,,cluster
Nearest Neighbor,cluster_30_1,510.6118595301235,510.6118595301235,510.6118595301235,,0.004305300000851275,0.004305300000851275,0.004305300000851275,,cluster
Nearest Neighbor,cluster_30_2,431.8639747776769,431.8639747776769,431.8639747776769,,0.0067665000024135225,0.0067665000024135225,0.0067665000024135225,,cluster
Nearest Neighbor,euclidean_30_0,378.5809461955469,378.5809461955469,378.5809461955469,,0.012098000002879417,0.012098000002879417,0.012098000002879417,,euclidean
Nearest Neighbor,euclidean_30_1,505.65906055113044,505.65906055113044,505.65906055113044,,0.011625200000707991,0.011625200000707991,0.011625200000707991,,euclidean
Nearest Neighbor,euclidean_30_2,527.9343965470489,527.9343965470489,527.9343965470489,,0.010465999999723863,0.010465999999723863,0.010465999999723863,,euclidean
"Simulated Annealing (T=1000, α=0.98)",cluster_30_0,664.1431558010229,664.1431558010229,664.1431558010229,,0.039300400003412506,0.039300400003412506,0.039300400003412506,,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_30_1,550.9691663897386,550.9691663897386,550.9691663897386,,0.060515099998156074,0.060515099998156074,0.060515099998156074,,cluster
"Simulated Annealing (T=1000, α=0.98)",cluster_30_2,479.43207294325094,479.43207294325094,479.43207294325094,,0.025144499999441905,0.025144499999441905,0.025144499999441905,,cluster
"Simulated Annealing (T=1000, α=0.98)",euclidean_30_0,385.3000578579723,385.3000578579723,385.3000578579723,,0.044570699999894714,0.044570699999894714,0.044570699999894714,,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_30_1,557.2392936210008,557.2392936210008,557.2392936210008,,0.041458799998508766,0.041458799998508766,0.041458799998508766,,euclidean
"Simulated Annealing (T=1000, α=0.98)",euclidean_30_2,575.9938754989594,575.9938754989594,575.9938754989594,,0.03591460000097868,0.03591460000097868,0.03591460000097868,,euclidean
