algorithm,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std
2-opt,468.7851096067979,370.99799446054044,608.6817191736685,86.65411914672991,0.07604979999935797,0.04641540000011446,0.10068949999913457,0.01805995016126681
NN-SA Hybrid,535.5129370186575,385.3000578579723,664.1431558010229,94.45034837735186,0.057452366666742215,0.027054199999838602,0.0887086000002455,0.01979888617368485
Nearest Neighbor,495.9284152190032,378.5809461955469,620.9202537124927,83.46533716632607,0.009312283334414436,0.004305300000851275,0.012098000002879417,0.0030881334616874243
"Simulated Annealing (T=1000, α=0.98)",535.5129370186575,385.3000578579723,664.1431558010229,94.45034837735186,0.041150683333398774,0.025144499999441905,0.060515099998156074,0.011608704532636446
