meta_alpha,meta_beta,avg_distance,std_distance,min_distance,avg_time,std_time,alpha_beta_ratio
0.5,2.5,689.0111945790612,69.08029219437728,618.4989809895711,1.1694091333362546,0.017380947616294808,0.2
1.0,2.5,614.9251062121654,58.890807043851744,552.3583423975283,1.1737279333319748,0.03309095078409765,0.4
1.5,2.0,610.2138489843486,59.14555814273093,552.5364464743118,1.1533723999988676,0.014660263950363878,0.75
2.0,1.5,619.9586018164046,63.10697459986735,549.6563624900291,1.1653405666656909,0.002216408702901365,1.3333333333333333
2.5,1.0,621.5399207421832,70.04524655519135,549.4254969218784,1.1601647666684585,0.008740506129171663,2.5
