algorithm,instance,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std,structure
2-opt,cluster_10_0,1412.6091551941472,1412.6091551941472,1412.6091551941472,,0.001969700002518948,0.001969700002518948,0.001969700002518948,,cluster
2-opt,cluster_10_1,1290.8881652454086,1290.8881652454086,1290.8881652454086,,0.004283199999917997,0.004283199999917997,0.004283199999917997,,cluster
2-opt,cluster_10_2,1489.0039211944852,1489.0039211944852,1489.0039211944852,,0.0020985000010114163,0.0020985000010114163,0.0020985000010114163,,cluster
2-opt,euclidean_10_0,283.11616245285046,283.11616245285046,283.11616245285046,,0.0009295000018028077,0.0009295000018028077,0.0009295000018028077,,euclidean
2-opt,euclidean_10_1,257.94830665432835,257.94830665432835,257.94830665432835,,0.003614400000515161,0.003614400000515161,0.003614400000515161,,euclidean
2-opt,euclidean_10_2,298.65014221132,298.65014221132,298.65014221132,,0.0010580999987723771,0.0010580999987723771,0.0010580999987723771,,euclidean
2-opt,grid_10_0,153.9533416939233,153.9533416939233,153.9533416939233,,0.01465249999819207,0.01465249999819207,0.01465249999819207,,grid
2-opt,grid_10_1,158.88898579507344,158.88898579507344,158.88898579507344,,0.008653600001707673,0.008653600001707673,0.008653600001707673,,grid
2-opt,grid_10_2,157.94342603710794,157.94342603710794,157.94342603710794,,0.003126299998257309,0.003126299998257309,0.003126299998257309,,grid
2-opt,random_10_0,inf,inf,inf,,0.00011080000331276096,0.00011080000331276096,0.00011080000331276096,,random
2-opt,random_10_1,inf,inf,inf,,9.209999916492961e-05,9.209999916492961e-05,9.209999916492961e-05,,random
2-opt,random_10_2,inf,inf,inf,,7.139999797800556e-05,7.139999797800556e-05,7.139999797800556e-05,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_10_0,1412.6091551941472,1412.6091551941472,1412.6091551941472,,0.11151260000042384,0.11151260000042384,0.11151260000042384,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_10_1,1290.8881652454083,1290.8881652454083,1290.8881652454083,,0.12181400000190479,0.12181400000190479,0.12181400000190479,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_10_2,1489.003921194485,1489.003921194485,1489.003921194485,,0.13157460000002175,0.13157460000002175,0.13157460000002175,,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_10_0,283.11616245285046,283.11616245285046,283.11616245285046,,0.14617010000074515,0.14617010000074515,0.14617010000074515,,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_10_1,257.94830665432835,257.94830665432835,257.94830665432835,,0.13278490000084275,0.13278490000084275,0.13278490000084275,,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_10_2,298.6501422113199,298.6501422113199,298.6501422113199,,0.1201943999985815,0.1201943999985815,0.1201943999985815,,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_10_0,153.95334169392325,153.95334169392325,153.95334169392325,,0.2553358000004664,0.2553358000004664,0.2553358000004664,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_10_1,158.88898579507344,158.88898579507344,158.88898579507344,,0.24338640000132727,0.24338640000132727,0.24338640000132727,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_10_2,157.94342603710794,157.94342603710794,157.94342603710794,,0.27162089999910677,0.27162089999910677,0.27162089999910677,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",random_10_0,inf,inf,inf,,9.00999984878581e-05,9.00999984878581e-05,9.00999984878581e-05,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_10_1,inf,inf,inf,,0.0008315999984915834,0.0008315999984915834,0.0008315999984915834,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_10_2,inf,inf,inf,,0.0004039999985252507,0.0004039999985252507,0.0004039999985252507,,random
Branch and Bound,cluster_10_0,1631.9310127242838,1631.9310127242838,1631.9310127242838,,1.9949570999997377,1.9949570999997377,1.9949570999997377,,cluster
Branch and Bound,cluster_10_1,1372.3926832517382,1372.3926832517382,1372.3926832517382,,0.022599199997785036,0.022599199997785036,0.022599199997785036,,cluster
Branch and Bound,cluster_10_2,1632.5402724170813,1632.5402724170813,1632.5402724170813,,1.5615389999984473,1.5615389999984473,1.5615389999984473,,cluster
Branch and Bound,euclidean_10_0,327.3985351137617,327.3985351137617,327.3985351137617,,2.048263099997712,2.048263099997712,2.048263099997712,,euclidean
Branch and Bound,euclidean_10_1,273.719182110287,273.719182110287,273.719182110287,,0.01580209999883664,0.01580209999883664,0.01580209999883664,,euclidean
Branch and Bound,euclidean_10_2,327.1676970300032,327.1676970300032,327.1676970300032,,1.370657499999652,1.370657499999652,1.370657499999652,,euclidean
Branch and Bound,grid_10_0,180.76607819666435,180.76607819666435,180.76607819666435,,0.0011604999999690335,0.0011604999999690335,0.0011604999999690335,,grid
Branch and Bound,grid_10_1,217.09085500045308,217.09085500045308,217.09085500045308,,60.574856100000034,60.574856100000034,60.574856100000034,,grid
Branch and Bound,grid_10_2,188.68029435386345,188.68029435386345,188.68029435386345,,0.001582500000949949,0.001582500000949949,0.001582500000949949,,grid
Branch and Bound,random_10_0,0.0,0.0,0.0,,4.13999987358693e-05,4.13999987358693e-05,4.13999987358693e-05,,random
Branch and Bound,random_10_1,0.0,0.0,0.0,,5.3499999921768904e-05,5.3499999921768904e-05,5.3499999921768904e-05,,random
Branch and Bound,random_10_2,0.0,0.0,0.0,,6.489999941550195e-05,6.489999941550195e-05,6.489999941550195e-05,,random
Christofides,cluster_10_0,1506.1098094652286,1506.1098094652286,1506.1098094652286,,0.0027139000012539327,0.0027139000012539327,0.0027139000012539327,,cluster
Christofides,cluster_10_1,1290.8881652454086,1290.8881652454086,1290.8881652454086,,0.0024698000015632715,0.0024698000015632715,0.0024698000015632715,,cluster
Christofides,cluster_10_2,1580.4249716009322,1580.4249716009322,1580.4249716009322,,0.003729600000951905,0.003729600000951905,0.003729600000951905,,cluster
Christofides,euclidean_10_0,302.36256188857055,302.36256188857055,302.36256188857055,,0.0028705000004265457,0.0028705000004265457,0.0028705000004265457,,euclidean
Christofides,euclidean_10_1,257.94830665432835,257.94830665432835,257.94830665432835,,0.0052460000006249174,0.0052460000006249174,0.0052460000006249174,,euclidean
Christofides,euclidean_10_2,316.6720940048087,316.6720940048087,316.6720940048087,,0.004923299999063602,0.004923299999063602,0.004923299999063602,,euclidean
Christofides,grid_10_0,168.60438026854374,168.60438026854374,168.60438026854374,,0.009061100001417799,0.009061100001417799,0.009061100001417799,,grid
Christofides,grid_10_1,176.12867208717878,176.12867208717878,176.12867208717878,,0.012737799999740673,0.012737799999740673,0.012737799999740673,,grid
Christofides,grid_10_2,184.16722310200282,184.16722310200282,184.16722310200282,,0.01040600000123959,0.01040600000123959,0.01040600000123959,,grid
Christofides,random_10_0,inf,inf,inf,,0.0004822000009880867,0.0004822000009880867,0.0004822000009880867,,random
Christofides,random_10_1,inf,inf,inf,,0.0002783999989333097,0.0002783999989333097,0.0002783999989333097,,random
Christofides,random_10_2,inf,inf,inf,,0.0004918999984511174,0.0004918999984511174,0.0004918999984511174,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_10_0,1412.609155194147,1412.609155194147,1412.609155194147,,0.17475220000051195,0.17475220000051195,0.17475220000051195,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_10_1,1290.8881652454086,1290.8881652454086,1290.8881652454086,,0.16807519999929355,0.16807519999929355,0.16807519999929355,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_10_2,1489.003921194485,1489.003921194485,1489.003921194485,,0.16130880000127945,0.16130880000127945,0.16130880000127945,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_10_0,283.11616245285046,283.11616245285046,283.11616245285046,,0.1623494000014034,0.1623494000014034,0.1623494000014034,,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_10_1,257.94830665432835,257.94830665432835,257.94830665432835,,0.1563434000017878,0.1563434000017878,0.1563434000017878,,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_10_2,298.6501422113199,298.6501422113199,298.6501422113199,,0.15699649999805843,0.15699649999805843,0.15699649999805843,,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_10_0,153.95334169392325,153.95334169392325,153.95334169392325,,0.18434350000097766,0.18434350000097766,0.18434350000097766,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_10_1,158.88898579507344,158.88898579507344,158.88898579507344,,0.18372429999726592,0.18372429999726592,0.18372429999726592,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_10_2,161.3103674406447,161.3103674406447,161.3103674406447,,0.1796909999975469,0.1796909999975469,0.1796909999975469,,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_10_0,inf,inf,inf,,0.00015889999849605374,0.00015889999849605374,0.00015889999849605374,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_10_1,inf,inf,inf,,0.0001961999987543095,0.0001961999987543095,0.0001961999987543095,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_10_2,inf,inf,inf,,0.00028560000282595865,0.00028560000282595865,0.00028560000282595865,,random
Nearest Neighbor,cluster_10_0,1438.2432235347062,1438.2432235347062,1438.2432235347062,,0.000836799998069182,0.000836799998069182,0.000836799998069182,,cluster
Nearest Neighbor,cluster_10_1,1290.8881652454086,1290.8881652454086,1290.8881652454086,,0.0008892000005289447,0.0008892000005289447,0.0008892000005289447,,cluster
Nearest Neighbor,cluster_10_2,1489.003921194485,1489.003921194485,1489.003921194485,,0.0005348999984562397,0.0005348999984562397,0.0005348999984562397,,cluster
Nearest Neighbor,euclidean_10_0,288.37961784354707,288.37961784354707,288.37961784354707,,0.0007976999986567535,0.0007976999986567535,0.0007976999986567535,,euclidean
Nearest Neighbor,euclidean_10_1,257.94830665432835,257.94830665432835,257.94830665432835,,0.0006714999981340952,0.0006714999981340952,0.0006714999981340952,,euclidean
Nearest Neighbor,euclidean_10_2,298.65014221132,298.65014221132,298.65014221132,,0.00025380000079167075,0.00025380000079167075,0.00025380000079167075,,euclidean
Nearest Neighbor,grid_10_0,153.9533416939233,153.9533416939233,153.9533416939233,,0.0036806999996770173,0.0036806999996770173,0.0036806999996770173,,grid
Nearest Neighbor,grid_10_1,187.10259753705537,187.10259753705537,187.10259753705537,,0.0017654000002949033,0.0017654000002949033,0.0017654000002949033,,grid
Nearest Neighbor,grid_10_2,167.3360944888759,167.3360944888759,167.3360944888759,,0.00327839999954449,0.00327839999954449,0.00327839999954449,,grid
Nearest Neighbor,random_10_0,inf,inf,inf,,2.8399997972883284e-05,2.8399997972883284e-05,2.8399997972883284e-05,,random
Nearest Neighbor,random_10_1,inf,inf,inf,,3.2899999496294186e-05,3.2899999496294186e-05,3.2899999496294186e-05,,random
Nearest Neighbor,random_10_2,inf,inf,inf,,4.9199999921256676e-05,4.9199999921256676e-05,4.9199999921256676e-05,,random
"Simulated Annealing (T=100, α=0.95)",cluster_10_0,1438.2432235347062,1438.2432235347062,1438.2432235347062,,0.011029799999960233,0.011029799999960233,0.011029799999960233,,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_10_1,1290.8881652454086,1290.8881652454086,1290.8881652454086,,0.006753599998774007,0.006753599998774007,0.006753599998774007,,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_10_2,1489.0039211944854,1489.0039211944854,1489.0039211944854,,0.013974199999211123,0.013974199999211123,0.013974199999211123,,cluster
"Simulated Annealing (T=100, α=0.95)",euclidean_10_0,288.37961784354707,288.37961784354707,288.37961784354707,,0.010163599999941653,0.010163599999941653,0.010163599999941653,,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_10_1,257.94830665432835,257.94830665432835,257.94830665432835,,0.009310800000093877,0.009310800000093877,0.009310800000093877,,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_10_2,298.65014221132,298.65014221132,298.65014221132,,0.005016900002374314,0.005016900002374314,0.005016900002374314,,euclidean
"Simulated Annealing (T=100, α=0.95)",grid_10_0,161.89740563921316,161.89740563921316,161.89740563921316,,0.013097300001390977,0.013097300001390977,0.013097300001390977,,grid
"Simulated Annealing (T=100, α=0.95)",grid_10_1,183.37182712501658,183.37182712501658,183.37182712501658,,0.008805299999949057,0.008805299999949057,0.008805299999949057,,grid
"Simulated Annealing (T=100, α=0.95)",grid_10_2,182.45392980405532,182.45392980405532,182.45392980405532,,0.007436799998686183,0.007436799998686183,0.007436799998686183,,grid
"Simulated Annealing (T=100, α=0.95)",random_10_0,inf,inf,inf,,0.00014200000077835284,0.00014200000077835284,0.00014200000077835284,,random
"Simulated Annealing (T=100, α=0.95)",random_10_1,inf,inf,inf,,0.00012550000246847048,0.00012550000246847048,0.00012550000246847048,,random
"Simulated Annealing (T=100, α=0.95)",random_10_2,inf,inf,inf,,9.359999967273325e-05,9.359999967273325e-05,9.359999967273325e-05,,random
