algorithm,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std
2-opt,inf,153.9533416939233,inf,,0.003388341666929288,7.139999797800556e-05,0.01465249999819207,0.004298905808688387
"Ant Colony (ants=10, α=1.0, β=2.0)",inf,153.95334169392325,inf,,0.1279766166665771,9.00999984878581e-05,0.27162089999910677,0.09520586366073537
Branch and Bound,512.6405508498447,0.0,1632.5402724170813,636.9529736565281,5.6326314083326,4.13999987358693e-05,60.574856100000034,17.323362728430762
Christofides,inf,168.60438026854374,inf,,0.004617541667054563,0.0002783999989333097,0.012737799999740673,0.004097736238808779
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",inf,153.95334169392325,inf,,0.12735208333318346,0.00015889999849605374,0.18434350000097766,0.07725996745101386
Nearest Neighbor,inf,153.9533416939233,inf,,0.0010682416659619776,2.8399997972883284e-05,0.0036806999996770173,0.0012303511544035984
"Simulated Annealing (T=100, α=0.95)",inf,161.89740563921316,inf,,0.007162450000275082,9.359999967273325e-05,0.013974199999211123,0.0049223043255295085
