algorithm,instance,run,distance,time
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_20_1,,377.8492973243401,1.0182006000031834
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_20_1,,385.10514137021283,1.5490697999994154
Christofides,euclidean_20_1,,399.8397123734588,0.009808399998291861
Nearest Neighbor,euclidean_20_2,,467.69783890475924,0.0029324000024644192
2-opt,euclidean_20_2,,431.72399744345034,0.01772029999847291
"Simulated Annealing (T=5000, α=0.99)",euclidean_20_2,,522.5493663415363,0.06560600000011618
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_20_2,,436.3414358109342,1.02010589999918
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_20_2,,427.9252790239878,1.601376300000993
Christofides,euclidean_20_2,,437.66641731667676,0.018081599999277387
Nearest Neighbor,euclidean_30_0,,378.5809461955469,0.014384499998413958
2-opt,euclidean_30_0,,370.99799446054044,0.061579599998367485
"Simulated Annealing (T=5000, α=0.99)",euclidean_30_0,,385.3000578579723,0.060633699999016244
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_30_0,,369.15189172616476,2.2008056999984547
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_30_0,,375.02122616065105,2.0335554999983287
Christofides,euclidean_30_0,,388.60376751615877,0.034052599999995437
Nearest Neighbor,euclidean_30_1,,505.65906055113044,0.007886100000177976
2-opt,euclidean_30_1,,439.9687275079233,0.07970530000238796
"Simulated Annealing (T=5000, α=0.99)",euclidean_30_1,,557.2392936210008,0.08716509999794653
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_30_1,,439.96872750792323,2.3076203999989957
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_30_1,,479.27215060952176,2.04754430000321
Christofides,euclidean_30_1,,482.8061220891204,0.03691409999737516
Nearest Neighbor,euclidean_30_2,,527.9343965470489,0.010184700000536395
2-opt,euclidean_30_2,,496.46637309466047,0.10290829999939888
"Simulated Annealing (T=5000, α=0.99)",euclidean_30_2,,575.9938754989594,0.04625820000001113
"Ant Colony (ants=30, α=1.0, β=3.0)",euclidean_30_2,,496.4587716255418,2.3946069999983592
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",euclidean_30_2,,513.4672087158722,2.132839999998396
