algorithm,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std
2-opt,457.33134616659663,385.10514137021295,545.4172340434411,58.31582690200825,0.020820400000957306,0.011655099999188678,0.03491260000009788,0.008993365821043481
NN-SA Hybrid,499.851956403417,434.3279342483175,612.8818561440536,62.17936643026309,0.06926666666731762,0.023799500002496643,0.23324219999994966,0.0810089084157225
Nearest Neighbor,470.86425947933634,385.10514137021295,565.9810762886794,62.873344417911085,0.0035212333326247367,0.0016414999990956858,0.005727599997044308,0.0014861308368381081
"Simulated Annealing (T=1000, α=0.98)",499.851956403417,434.3279342483175,612.8818561440536,62.17936643026309,0.03003688333228638,0.026756299997941824,0.03331690000050003,0.0027443177367103104
