algorithm,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std
2-opt,640.7644169171716,549.0012475651203,747.8798894487886,73.30552467393531,0.34946526666681166,0.23557159999836585,0.4347882000001846,0.08125503168040625
NN-SA Hybrid,748.8432185488327,615.4822852301842,832.9846886554196,76.11700130977988,0.09369184999983797,0.08884340000076918,0.10009920000084094,0.004227686139744866
Nearest Neighbor,691.6643633734249,587.0859284574054,778.1952512532421,76.18626729428414,0.045245733333407166,0.03625109999848064,0.05404210000051535,0.006779237856376476
"Simulated Annealing (T=1000, α=0.98)",748.8432185488327,615.4822852301842,832.9846886554196,76.11700130977988,0.051118516665762094,0.034493499999371124,0.0648442999990948,0.011490158485440246
