algorithm,instance,run,distance,time,structure
Branch and Bound,euclidean_20_0,,462.09713551538226,0.0007808999944245443,euclidean
Nearest Neighbor,euclidean_20_0,,415.9605886815217,0.0009082000033231452,euclidean
2-opt,euclidean_20_0,,387.22950377541645,0.0037903999982518144,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_0,,462.09713551538226,0.0031185000043478794,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_0,,384.40814947752904,0.11462490000121761,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_0,,391.6668240462571,0.06057370000053197,euclidean
Christofides,euclidean_20_0,,430.62231777336785,0.005359100003261119,euclidean
Branch and Bound,cluster_20_0,,1670.6782479516573,0.0005966000026091933,cluster
Nearest Neighbor,cluster_20_0,,1470.4686726191155,0.0008409000001847744,cluster
2-opt,cluster_20_0,,1429.3304135150363,0.00561569999990752,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_0,,1655.360950721496,0.0024903999947127886,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_0,,1441.3366415786893,0.11480250000022352,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_0,,1432.6131519187834,0.0590474999989965,cluster
Christofides,cluster_20_0,,1597.120230973842,0.00389290000020992,cluster
Branch and Bound,grid_20_0,,296.35658874029787,0.0011629000000539236,grid
Nearest Neighbor,grid_20_0,,265.58837571030267,0.001331799998297356,grid
2-opt,grid_20_0,,249.2757648415084,0.008471900000586174,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_0,,296.35658874029787,0.0029328000018722378,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_0,,251.67511149601057,0.1774807999972836,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_0,,256.6983390900423,0.06930480000301031,grid
Christofides,grid_20_0,,281.49632270126165,0.007428900004015304,grid
Branch and Bound,random_20_0,,0.0,2.2300002456177026e-05,random
Nearest Neighbor,random_20_0,,inf,8.600000001024455e-06,random
2-opt,random_20_0,,inf,3.4000004234258085e-05,random
"Simulated Annealing (T=100, α=0.95)",random_20_0,,inf,5.62999994144775e-05,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_0,,inf,3.740000101970509e-05,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_0,,inf,6.130000110715628e-05,random
Christofides,random_20_0,,inf,0.0001464000015403144,random
Branch and Bound,euclidean_20_1,,332.77401878059806,0.000603599997702986,euclidean
Nearest Neighbor,euclidean_20_1,,322.5669530619588,0.0008718999961274676,euclidean
2-opt,euclidean_20_1,,318.2313472254871,0.004899400002614129,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_1,,332.77401878059806,0.0024736000050324947,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_1,,318.23134722548707,0.11954129999503493,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_1,,318.23134722548707,0.05668349999905331,euclidean
Christofides,euclidean_20_1,,328.68997132735245,0.004070000002684537,euclidean
Branch and Bound,cluster_20_1,,1390.981644969845,0.0006500000017695129,cluster
Nearest Neighbor,cluster_20_1,,1310.6513886279001,0.0010143000035895966,cluster
2-opt,cluster_20_1,,1309.8569009166965,0.004024599998956546,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_1,,1387.604535797986,0.002300799998920411,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_1,,1309.8569009166965,0.11519309999857796,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_1,,1309.8569009166965,0.055177499998535495,cluster
Christofides,cluster_20_1,,1313.2340100885558,0.004141999997955281,cluster
Branch and Bound,grid_20_1,,310.5791223660237,0.0012499000004027039,grid
Nearest Neighbor,grid_20_1,,257.75280076814806,0.0014311999984784052,grid
2-opt,grid_20_1,,246.72220560300002,0.007372000000032131,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_1,,310.5791223660237,0.0031022999974084087,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_1,,246.88313639049443,0.2200518999961787,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_1,,257.752800768148,0.06524200000421843,grid
Christofides,grid_20_1,,288.1303528996376,0.008430800000496674,grid
Branch and Bound,random_20_1,,0.0,2.4000000848900527e-05,random
Nearest Neighbor,random_20_1,,inf,9.900002623908222e-06,random
2-opt,random_20_1,,inf,2.3799999326001853e-05,random
"Simulated Annealing (T=100, α=0.95)",random_20_1,,inf,3.479999577393755e-05,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_1,,inf,3.529999958118424e-05,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_1,,inf,9.280000085709617e-05,random
Christofides,random_20_1,,inf,0.00014689999807160348,random
Branch and Bound,euclidean_20_2,,421.4535298800124,0.0006032000019331463,euclidean
Nearest Neighbor,euclidean_20_2,,383.91366985218747,0.0007982999959494919,euclidean
2-opt,euclidean_20_2,,378.25445943864287,0.005655399996612687,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_2,,393.7451936187673,0.0027854999934788793,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_2,,384.1145361349558,0.11645680000219727,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_2,,383.91366985218735,0.05950230000598822,euclidean
Christofides,euclidean_20_2,,415.33505601002923,0.004503899996052496,euclidean
Branch and Bound,cluster_20_2,,1663.3514898832764,0.0007800000021234155,cluster
Nearest Neighbor,cluster_20_2,,1512.846812734228,0.0007905999955255538,cluster
2-opt,cluster_20_2,,1511.3762755274442,0.00457740000274498,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_2,,1575.0437751416691,0.0024772000033408403,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_2,,1514.6044867164528,0.11920440000540111,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_2,,1512.846812734228,0.05809399999998277,cluster
Christofides,cluster_20_2,,1605.874936564473,0.0035617999965325,cluster
Branch and Bound,grid_20_2,,349.26569515867106,0.0013786000054096803,grid
Nearest Neighbor,grid_20_2,,318.24230729609394,0.0016369000004488043,grid
2-opt,grid_20_2,,250.16045504981554,0.00925660000211792,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_2,,324.7250242965334,0.0029368999967118725,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_2,,256.1921383284498,0.1764485000021523,grid
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",grid_20_2,,309.0740368385044,0.06867369999963557,grid
Christofides,grid_20_2,,261.3871609937796,0.007811399998900015,grid
Branch and Bound,random_20_2,,0.0,1.5599995094817132e-05,random
Nearest Neighbor,random_20_2,,inf,9.399998816661537e-06,random
2-opt,random_20_2,,inf,2.7000001864507794e-05,random
"Simulated Annealing (T=100, α=0.95)",random_20_2,,inf,2.849999873433262e-05,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_2,,inf,2.800000220304355e-05,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",random_20_2,,inf,5.619999865302816e-05,random
Christofides,random_20_2,,inf,0.00011989999620709568,random
Branch and Bound,euclidean_20_3,,512.1595830578493,60.453085699999065,euclidean
Nearest Neighbor,euclidean_20_3,,403.6035824840784,0.0007437000022036955,euclidean
2-opt,euclidean_20_3,,400.50906599899105,0.00452919999952428,euclidean
"Simulated Annealing (T=100, α=0.95)",euclidean_20_3,,510.1297846300829,0.0030370999957085587,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_3,,400.50906599899105,0.11669760000222595,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_3,,400.50906599899105,0.05637900000147056,euclidean
Christofides,euclidean_20_3,,450.9180128342728,0.004148499996517785,euclidean
Branch and Bound,cluster_20_3,,1565.7742835265003,0.0005583000020124018,cluster
Nearest Neighbor,cluster_20_3,,1560.4413992441898,0.0007330000007641502,cluster
2-opt,cluster_20_3,,1518.8426442902678,0.005367999998270534,cluster
"Simulated Annealing (T=100, α=0.95)",cluster_20_3,,1565.7742835265003,0.002315500001714099,cluster
"Ant Colony (ants=10, α=1.0, β=2.0)",cluster_20_3,,1520.4857756419074,0.11941849999857368,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_3,,1555.8973133537784,0.057758999995712657,cluster
Christofides,cluster_20_3,,1642.4943513537098,0.0038512999963131733,cluster
Branch and Bound,grid_20_3,,331.90309303694517,0.0014062999980524182,grid
Nearest Neighbor,grid_20_3,,288.9124522657512,0.0013543000022764318,grid
2-opt,grid_20_3,,247.73011289823665,0.009447600001294632,grid
"Simulated Annealing (T=100, α=0.95)",grid_20_3,,322.1928788309415,0.0029250000006868504,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_3,,247.73011289823668,0.17502950000198325,grid
