algorithm,instance,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std,structure
"Ant Colony (ants=10, α=1.0, β=2.0)",euclidean_20_4,424.57079714519773,424.57079714519773,424.57079714519773,,0.11941120000119554,0.11941120000119554,0.11941120000119554,,euclidean
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_0,251.67511149601057,251.67511149601057,251.67511149601057,,0.1774807999972836,0.1774807999972836,0.1774807999972836,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_1,246.88313639049443,246.88313639049443,246.88313639049443,,0.2200518999961787,0.2200518999961787,0.2200518999961787,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_2,256.1921383284498,256.1921383284498,256.1921383284498,,0.1764485000021523,0.1764485000021523,0.1764485000021523,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_3,247.73011289823668,247.73011289823668,247.73011289823668,,0.17502950000198325,0.17502950000198325,0.17502950000198325,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",grid_20_4,261.21487392105183,261.21487392105183,261.21487392105183,,0.18549519999942277,0.18549519999942277,0.18549519999942277,,grid
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_0,inf,inf,inf,,3.740000101970509e-05,3.740000101970509e-05,3.740000101970509e-05,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_1,inf,inf,inf,,3.529999958118424e-05,3.529999958118424e-05,3.529999958118424e-05,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_2,inf,inf,inf,,2.800000220304355e-05,2.800000220304355e-05,2.800000220304355e-05,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_3,inf,inf,inf,,8.320000051753595e-05,8.320000051753595e-05,8.320000051753595e-05,,random
"Ant Colony (ants=10, α=1.0, β=2.0)",random_20_4,inf,inf,inf,,2.7800000680144876e-05,2.7800000680144876e-05,2.7800000680144876e-05,,random
Branch and Bound,cluster_20_0,1670.6782479516573,1670.6782479516573,1670.6782479516573,,0.0005966000026091933,0.0005966000026091933,0.0005966000026091933,,cluster
Branch and Bound,cluster_20_1,1390.981644969845,1390.981644969845,1390.981644969845,,0.0006500000017695129,0.0006500000017695129,0.0006500000017695129,,cluster
Branch and Bound,cluster_20_2,1663.3514898832764,1663.3514898832764,1663.3514898832764,,0.0007800000021234155,0.0007800000021234155,0.0007800000021234155,,cluster
Branch and Bound,cluster_20_3,1565.7742835265003,1565.7742835265003,1565.7742835265003,,0.0005583000020124018,0.0005583000020124018,0.0005583000020124018,,cluster
Branch and Bound,cluster_20_4,1690.8860296789976,1690.8860296789976,1690.8860296789976,,0.0006573000064236112,0.0006573000064236112,0.0006573000064236112,,cluster
Branch and Bound,euclidean_20_0,462.09713551538226,462.09713551538226,462.09713551538226,,0.0007808999944245443,0.0007808999944245443,0.0007808999944245443,,euclidean
Branch and Bound,euclidean_20_1,332.77401878059806,332.77401878059806,332.77401878059806,,0.000603599997702986,0.000603599997702986,0.000603599997702986,,euclidean
Branch and Bound,euclidean_20_2,421.4535298800124,421.4535298800124,421.4535298800124,,0.0006032000019331463,0.0006032000019331463,0.0006032000019331463,,euclidean
Branch and Bound,euclidean_20_3,512.1595830578493,512.1595830578493,512.1595830578493,,60.453085699999065,60.453085699999065,60.453085699999065,,euclidean
Branch and Bound,euclidean_20_4,542.8414574914368,542.8414574914368,542.8414574914368,,0.0006097000004956499,0.0006097000004956499,0.0006097000004956499,,euclidean
Branch and Bound,grid_20_0,296.35658874029787,296.35658874029787,296.35658874029787,,0.0011629000000539236,0.0011629000000539236,0.0011629000000539236,,grid
Branch and Bound,grid_20_1,310.5791223660237,310.5791223660237,310.5791223660237,,0.0012499000004027039,0.0012499000004027039,0.0012499000004027039,,grid
Branch and Bound,grid_20_2,349.26569515867106,349.26569515867106,349.26569515867106,,0.0013786000054096803,0.0013786000054096803,0.0013786000054096803,,grid
Branch and Bound,grid_20_3,331.90309303694517,331.90309303694517,331.90309303694517,,0.0014062999980524182,0.0014062999980524182,0.0014062999980524182,,grid
Branch and Bound,grid_20_4,324.7354343583567,324.7354343583567,324.7354343583567,,0.0015363999991677701,0.0015363999991677701,0.0015363999991677701,,grid
Branch and Bound,random_20_0,0.0,0.0,0.0,,2.2300002456177026e-05,2.2300002456177026e-05,2.2300002456177026e-05,,random
Branch and Bound,random_20_1,0.0,0.0,0.0,,2.4000000848900527e-05,2.4000000848900527e-05,2.4000000848900527e-05,,random
Branch and Bound,random_20_2,0.0,0.0,0.0,,1.5599995094817132e-05,1.5599995094817132e-05,1.5599995094817132e-05,,random
Branch and Bound,random_20_3,0.0,0.0,0.0,,1.8200000340584666e-05,1.8200000340584666e-05,1.8200000340584666e-05,,random
Branch and Bound,random_20_4,0.0,0.0,0.0,,1.599999814061448e-05,1.599999814061448e-05,1.599999814061448e-05,,random
Christofides,cluster_20_0,1597.120230973842,1597.120230973842,1597.120230973842,,0.00389290000020992,0.00389290000020992,0.00389290000020992,,cluster
Christofides,cluster_20_1,1313.2340100885558,1313.2340100885558,1313.2340100885558,,0.004141999997955281,0.004141999997955281,0.004141999997955281,,cluster
Christofides,cluster_20_2,1605.874936564473,1605.874936564473,1605.874936564473,,0.0035617999965325,0.0035617999965325,0.0035617999965325,,cluster
Christofides,cluster_20_3,1642.4943513537098,1642.4943513537098,1642.4943513537098,,0.0038512999963131733,0.0038512999963131733,0.0038512999963131733,,cluster
Christofides,cluster_20_4,1479.976712233143,1479.976712233143,1479.976712233143,,0.004395299998577684,0.004395299998577684,0.004395299998577684,,cluster
Christofides,euclidean_20_0,430.62231777336785,430.62231777336785,430.62231777336785,,0.005359100003261119,0.005359100003261119,0.005359100003261119,,euclidean
Christofides,euclidean_20_1,328.68997132735245,328.68997132735245,328.68997132735245,,0.004070000002684537,0.004070000002684537,0.004070000002684537,,euclidean
Christofides,euclidean_20_2,415.33505601002923,415.33505601002923,415.33505601002923,,0.004503899996052496,0.004503899996052496,0.004503899996052496,,euclidean
Christofides,euclidean_20_3,450.9180128342728,450.9180128342728,450.9180128342728,,0.004148499996517785,0.004148499996517785,0.004148499996517785,,euclidean
Christofides,euclidean_20_4,446.33877604939397,446.33877604939397,446.33877604939397,,0.0051297000027261674,0.0051297000027261674,0.0051297000027261674,,euclidean
Christofides,grid_20_0,281.49632270126165,281.49632270126165,281.49632270126165,,0.007428900004015304,0.007428900004015304,0.007428900004015304,,grid
Christofides,grid_20_1,288.1303528996376,288.1303528996376,288.1303528996376,,0.008430800000496674,0.008430800000496674,0.008430800000496674,,grid
Christofides,grid_20_2,261.3871609937796,261.3871609937796,261.3871609937796,,0.007811399998900015,0.007811399998900015,0.007811399998900015,,grid
Christofides,grid_20_3,265.4580278124224,265.4580278124224,265.4580278124224,,0.007485199996153824,0.007485199996153824,0.007485199996153824,,grid
Christofides,grid_20_4,276.5361271886078,276.5361271886078,276.5361271886078,,0.008048100004089065,0.008048100004089065,0.008048100004089065,,grid
Christofides,random_20_0,inf,inf,inf,,0.0001464000015403144,0.0001464000015403144,0.0001464000015403144,,random
Christofides,random_20_1,inf,inf,inf,,0.00014689999807160348,0.00014689999807160348,0.00014689999807160348,,random
Christofides,random_20_2,inf,inf,inf,,0.00011989999620709568,0.00011989999620709568,0.00011989999620709568,,random
Christofides,random_20_3,inf,inf,inf,,0.00014830000145593658,0.00014830000145593658,0.00014830000145593658,,random
Christofides,random_20_4,inf,inf,inf,,0.00012939999578520656,0.00012939999578520656,0.00012939999578520656,,random
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_0,1432.6131519187834,1432.6131519187834,1432.6131519187834,,0.0590474999989965,0.0590474999989965,0.0590474999989965,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_1,1309.8569009166965,1309.8569009166965,1309.8569009166965,,0.055177499998535495,0.055177499998535495,0.055177499998535495,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_2,1512.846812734228,1512.846812734228,1512.846812734228,,0.05809399999998277,0.05809399999998277,0.05809399999998277,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_3,1555.8973133537784,1555.8973133537784,1555.8973133537784,,0.057758999995712657,0.057758999995712657,0.057758999995712657,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",cluster_20_4,1477.8612230482347,1477.8612230482347,1477.8612230482347,,0.061434100003680214,0.061434100003680214,0.061434100003680214,,cluster
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_0,391.6668240462571,391.6668240462571,391.6668240462571,,0.06057370000053197,0.06057370000053197,0.06057370000053197,,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_1,318.23134722548707,318.23134722548707,318.23134722548707,,0.05668349999905331,0.05668349999905331,0.05668349999905331,,euclidean
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",euclidean_20_2,383.91366985218735,383.91366985218735,383.91366985218735,,0.05950230000598822,0.05950230000598822,0.05950230000598822,,euclidean
