algorithm,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std
2-opt,inf,246.72220560300002,inf,,0.00459975000085251,1.8800004909280688e-05,0.009447600001294632,0.0031814783944002036
"Ant Colony (ants=10, α=1.0, β=2.0)",inf,246.88313639049443,inf,,0.10556373500003247,2.7800000680144876e-05,0.2200518999961787,0.06947368686734075
Branch and Bound,593.2918677197924,0.0,1690.8860296789976,621.7267708737388,3.0232877750004263,1.5599995094817132e-05,60.453085699999065,13.517571808259563
Christofides,inf,261.3871609937796,inf,,0.004147489999377285,0.00011989999620709568,0.008430800000496674,0.002832053153104093
"Genetic Algorithm (pop=50, mut=0.05, cx=OX)",inf,256.6983390900423,inf,,0.046254280000721334,5.619999865302816e-05,0.06961179999780143,0.02770522078433323
Nearest Neighbor,inf,257.75280076814806,inf,,0.0007758999996440253,8.600000001024455e-06,0.0016369000004488043,0.0005257845901660953
"Simulated Annealing (T=100, α=0.95)",inf,296.35658874029787,inf,,0.0020529350000288104,2.800000220304355e-05,0.0031185000043478794,0.0012197534965100113
