algorithm,avg_distance,std_distance,min_distance,avg_time,std_time,quality_ratio,quality_factor,time_ratio,efficiency,quality_rank,speed_rank,efficiency_rank
2-opt,807.3423607874989,18.471964694446783,775.1191868779907,1.032470379996812,0.17901020818619023,1.0,0.0,20.77052468446074,20.77052468446074,1.0,4.0,4.0
"Ant Colony (ants=30, α=1.0, β=3.0)",856.4469268729168,25.264961212108194,815.9361092004224,7.354741939999803,0.268736611834778,1.0526588981584022,5.265889815840225,147.9576092178802,155.7488938934452,2.0,6.0,6.0
Christofides,869.25983109283,21.51053755969948,838.6605796395373,0.4103702799999155,0.014862055138720983,1.0819762867920704,8.197628679207043,8.255545336354954,8.932304288472928,3.0,3.0,3.0
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",872.1515716087,16.552892781369263,842.7391731937504,2.5663559400010856,0.07758985822261887,1.0872381789284795,8.723817892847947,51.628173004894904,56.13212079924642,4.0,5.0,5.0
Nearest Neighbor,886.5096664568857,14.573596263142544,862.4493936166022,0.07667937999940472,0.0024468169853009633,1.1126668107524964,11.266681075249636,1.5425827083501402,1.7163805824218987,5.0,2.0,2.0
"Simulated Annealing (T=5000, α=0.99)",962.2924787926497,29.863805699663807,922.6446727174126,0.049708439997630124,0.0018209218348069918,1.1903261954250184,19.032619542501834,1.0,1.1903261954250184,6.0,1.0,1.0
