algorithm,avg_distance,std_distance,min_distance,avg_time,std_time,quality_ratio,quality_factor,time_ratio,efficiency,quality_rank,speed_rank,efficiency_rank
"Simulated Annealing (T=5000, α=0.99)",968.7877963773834,27.0404443008141,945.878739829299,0.1649217666672484,0.01134379814056452,1.220301027044744,22.0301027044744,1.0,1.220301027044744,6.0,1.0,1.0
Nearest Neighbor,893.5202013444882,7.551373181591232,886.3333749768991,0.2499829666679337,0.013232804861657076,1.1434801124545175,14.348011245451758,1.5157669707256265,1.7332493861401828,5.0,2.0,2.0
Christofides,864.1716342862975,28.249124782586755,838.6605796395373,1.3040401666670125,0.013946245599925702,1.0819762867920704,8.197628679207043,7.9070227843125584,8.5552111517508,3.0,3.0,3.0
2-opt,802.2659653616664,23.676386311983343,775.1191868779907,3.218484900001689,0.7326380344150575,1.0,0.0,19.515222065838103,19.515222065838103,1.0,4.0,4.0
"Genetic Algorithm (pop=150, mut=0.05, cx=OX)",878.4739328751583,0.9701813843620266,877.5022668661173,8.56347610000133,0.26145077766686803,1.1320868864058224,13.208688640582238,51.92447469520068,58.78301688594765,4.0,5.0,5.0
"Ant Colony (ants=30, α=1.0, β=3.0)",852.0585284496323,31.48273396389609,815.9361092004224,23.184752566667157,0.2223833165656518,1.0526588981584022,5.265889815840225,140.58030686419627,147.9831109264349,2.0,6.0,6.0
