algorithm,distance_mean,distance_min,distance_max,distance_std,time_mean,time_min,time_max,time_std
2-opt,inf,556.6476184389827,inf,,0.12300538500057882,1.9400002202019095e-05,0.2917014999984531,0.09655434202381534
"Ant Colony (ants=20, α=1.0, β=3.0)",inf,552.7936151941356,inf,,1.1864584600003583,2.5699999241624027e-05,2.1859384999988833,0.7814274695977955
Christofides,inf,580.9748585451291,inf,,0.0626103949998651,0.0001005000012810342,0.14073710000229767,0.04479701111096879
"Genetic Algorithm (pop=100, mut=0.05, cx=OX)",inf,571.4789472894752,inf,,0.46288513000072273,7.94000006862916e-05,0.7778226000009454,0.2895993852877391
Nearest Neighbor,inf,574.9704299231936,inf,,0.012760669999624951,1.0000003385357559e-05,0.04084889999649022,0.010477883747425303
"Simulated Annealing (T=1000, α=0.98)",inf,596.5155383915334,inf,,0.010245505000057165,2.42000023717992e-05,0.016555800000787713,0.006268259331220481
